"station_id","year","month","avg_frequency","avg_rides","score","norm_score","latitude","longitude"
40760,2017,"December",91.0322580645161,3095.96774193548,65.8100549148715,60.6113109381627,41.993664,-87.659202
40760,2018,"January",92.6451612903226,3210.48387096774,66.9982865142872,61.7056767616209,41.993664,-87.659202
40760,2018,"February",92.8571428571429,3634.32142857143,69.8773964526346,64.3573479678531,41.993664,-87.659202
40760,2018,"March",92.8387096774194,3561.58064516129,69.403639270194,63.9210158005082,41.993664,-87.659202
40760,2018,"April",92.4,3600.13333333333,69.5443778015819,64.0506365233288,41.993664,-87.659202
40760,2018,"May",92.6451612903226,3312.03225806452,67.6971421917287,62.3493254992051,41.993664,-87.659202
40760,2018,"June",92.6,3306.16666666667,67.6462890367942,62.3024895500495,41.993664,-87.659202
40760,2018,"July",91.741935483871,3242.12903225806,67.0008215148061,61.7080115067426,41.993664,-87.659202
40760,2018,"August",93.5483870967742,3442.22580645161,68.7923073702849,63.3579767949985,41.993664,-87.659202
40760,2018,"September",90.7333333333333,4041.63333333333,71.8451036758831,66.1696138062248,41.993664,-87.659202
40760,2018,"October",93.5483870967742,4155,73.2447590218967,67.4587017046201,41.993664,-87.659202
40760,2018,"November",92.4,3599.56666666667,69.5407298252028,64.0472767232057,41.993664,-87.659202
40760,2018,"December",91.0322580645161,2905.87096774194,64.4350165026511,59.3448953294413,41.993664,-87.659202
40760,2019,"January",92.6451612903226,2980.16129032258,65.3567235027902,60.1937909830246,41.993664,-87.659202
40760,2019,"February",92.8571428571429,3528.14285714286,69.1903492412425,63.7245748724233,41.993664,-87.659202
40760,2019,"March",91.9354838709677,3441.32258064516,68.3929038236537,62.990124609098,41.993664,-87.659202
40760,2019,"April",93.3333333333333,3472.63333333333,68.9418687814301,63.4957234236405,41.993664,-87.659202
40760,2019,"May",92.6451612903226,3143.96774193548,66.5325004755527,61.2766860479539,41.993664,-87.659202
40760,2019,"June",91.6666666666667,3105.7,66.0299476375878,60.8138329723236,41.993664,-87.659202
40760,2019,"July",92.6451612903226,3040.58064516129,65.7953032075907,60.5977245596372,41.993664,-87.659202
40760,2019,"August",92.8387096774194,3148.35483870968,66.6092495863884,61.3473722710107,41.993664,-87.659202
40760,2019,"September",91.4666666666667,3651.66666666667,69.6410132216188,64.1396381128135,41.993664,-87.659202
40760,2019,"October",93.5483870967742,3773.61290322581,70.9319961121823,65.328638266316,41.993664,-87.659202
40760,2019,"November",91.6666666666667,3515.13333333333,68.8118064088378,63.375935483686,41.993664,-87.659202
40760,2019,"December",91.741935483871,2751.41935483871,63.4351911354064,58.4240523625676,41.993664,-87.659202
40760,2020,"January",92.6451612903226,2940.93548387097,65.0688046880079,59.9286166592789,41.993664,-87.659202
40760,2020,"February",92.3448275862069,2559.13793103448,62.0561089165386,57.1539123925401,41.993664,-87.659202
40760,2020,"March",92.6451612903226,1690.12903225806,54.102918832654,49.8289940689161,41.993664,-87.659202
40760,2020,"April",93.3333333333333,421.533333333333,34.1592808412199,31.4608276071098,41.993664,-87.659202
40760,2020,"May",91.0322580645161,428,34.0512027565644,31.3612872799801,41.993664,-87.659202
40760,2020,"June",93.3333333333333,564.766666666667,37.6502194968366,34.6759953895306,41.993664,-87.659202
40760,2020,"July",92.6451612903226,677.903225806452,39.9114713115735,36.7586169133965,41.993664,-87.659202
40760,2020,"August",91.9354838709677,537.451612903226,36.8504460341123,33.9394009877788,41.993664,-87.659202
40760,2020,"September",92.4,909.766666666667,43.9796060217725,40.5053844579178,41.993664,-87.659202
40760,2020,"October",92.8387096774194,929.451612903226,44.3634460203431,40.858902556846,41.993664,-87.659202
40760,2020,"November",91.4666666666667,716.2,40.4770165451225,37.279486225002,41.993664,-87.659202
40760,2020,"December",92.6451612903226,681.645161290323,39.9846641696196,36.8260278141049,41.993664,-87.659202
40760,2021,"January",91.0322580645161,721.290322580645,40.5089162638449,37.3088659873016,41.993664,-87.659202
40760,2021,"February",92.8571428571429,900,43.8932130987679,40.4258162471654,41.993664,-87.659202
