"station_id","year","total_frequency","total_ridership","latitude","longitude"
40290,2015,22120,442791,41.77886,-87.663766
40290,2016,22180,376696,41.77886,-87.663766
40290,2017,22113,366831,41.77886,-87.663766
40290,2018,22120,342831,41.77886,-87.663766
40290,2019,22120,301890,41.77886,-87.663766
40290,2020,22182,150810,41.77886,-87.663766
40290,2021,22113,137212,41.77886,-87.663766
40290,2022,22125,145954,41.77886,-87.663766
40290,2023,10976,75197,41.77886,-87.663766
40300,2012,22120,295474,41.821732,-87.621371
40300,2013,22120,371138,41.821732,-87.621371
40300,2014,22120,314498,41.821732,-87.621371
40300,2015,22120,297134,41.821732,-87.621371
40300,2016,22180,271887,41.821732,-87.621371
40300,2017,22113,266849,41.821732,-87.621371
40300,2018,22120,253231,41.821732,-87.621371
40300,2019,22120,231963,41.821732,-87.621371
40300,2020,22182,99395,41.821732,-87.621371
40300,2021,22113,88846,41.821732,-87.621371
40300,2022,22125,97553,41.821732,-87.621371
40300,2023,10976,48887,41.821732,-87.621371
40340,2012,33732,939637,41.977984,-87.658668
40340,2013,33732,1039612,41.977984,-87.658668
40340,2014,33732,1180973,41.977984,-87.658668
40340,2015,33732,1178291,41.977984,-87.658668
40340,2016,33810,1159261,41.977984,-87.658668
40340,2017,33704,1094141,41.977984,-87.658668
40340,2018,33732,1063456,41.977984,-87.658668
40340,2019,33732,1013553,41.977984,-87.658668
40340,2020,33832,406530,41.977984,-87.658668
40340,2021,33704,99870,41.977984,-87.658668
40340,2022,33738,0,41.977984,-87.658668
40340,2023,16766,0,41.977984,-87.658668
40350,2012,29097,1725482,41.875474,-87.649707
40350,2013,29097,1715302,41.875474,-87.649707
40350,2014,29097,1695108,41.875474,-87.649707
40350,2015,29097,1676810,41.875474,-87.649707
40350,2016,29161,1725557,41.875474,-87.649707
40350,2017,29061,1702964,41.875474,-87.649707
40350,2018,29097,1722221,41.875474,-87.649707
40350,2019,29097,1729039,41.875474,-87.649707
40350,2020,29186,524093,41.875474,-87.649707
40350,2021,29061,553162,41.875474,-87.649707
40350,2022,29108,859371,41.875474,-87.649707
40350,2023,14476,421935,41.875474,-87.649707
40360,2012,28332,1008675,41.943744,-87.663619
40360,2013,28332,1043856,41.943744,-87.663619
40360,2014,28332,1060530,41.943744,-87.663619
40360,2015,28332,1042720,41.943744,-87.663619
40360,2016,28396,1126200,41.943744,-87.663619
40360,2017,28299,1137842,41.943744,-87.663619
40360,2018,28332,1122875,41.943744,-87.663619
40360,2019,28332,1084936,41.943744,-87.663619
40360,2020,28418,305940,41.943744,-87.663619
40360,2021,28299,352367,41.943744,-87.663619
40360,2022,28343,529843,41.943744,-87.663619
40360,2023,14092,310182,41.943744,-87.663619
40380,2012,122498,28235345,41.885737,-87.630886
40380,2013,122498,27717795,41.885737,-87.630886
40380,2014,122498,27866175,41.885737,-87.630886
40380,2015,122498,29985345,41.885737,-87.630886
40380,2016,122799,29863330,41.885737,-87.630886
40380,2017,122419,30112665,41.885737,-87.630886
40380,2018,122498,30241575,41.885737,-87.630886
40380,2019,122498,29153835,41.885737,-87.630886
40380,2020,122854,8243370,41.885737,-87.630886
40380,2021,122419,7705430,41.885737,-87.630886
40380,2022,122522,11103890,41.885737,-87.630886
40380,2023,60849,5883130,41.885737,-87.630886
40390,2012,26292,1203142,41.874257,-87.817318
40390,2013,26292,1155802,41.874257,-87.817318
40390,2014,26292,1157040,41.874257,-87.817318
40390,2015,26292,1135352,41.874257,-87.817318
40390,2016,26356,1101467,41.874257,-87.817318
40390,2017,26267,1046738,41.874257,-87.817318
40390,2018,26292,1002809,41.874257,-87.817318
40390,2019,26292,924239,41.874257,-87.817318
40390,2020,26370,402347,41.874257,-87.817318
40390,2021,26267,334648,41.874257,-87.817318
40390,2022,26303,356015,41.874257,-87.817318
40390,2023,13068,180704,41.874257,-87.817318
